law_enforcement_agency,cause,armed
"New York State Police, Monroe County Sheriff's Department and Gates Police Department",Gunshot,Firearm
Houston County Sheriff's Department,Gunshot,No
Los Angeles County Sheriff's Department,Gunshot,Firearm
Clarkstown Police Department,Gunshot,Firearm
Portsmouth Police Department,Gunshot,Other
North Charleston Police Department,Gunshot,Knife
Fort Worth Police Department,Gunshot,Unknown
Wichita County Sheriff's Office,Taser,Unknown
Hoover Police Department,Gunshot,No
Winslow Police Department,Gunshot,Non-lethal firearm
Portsmouth Police Department,Gunshot,No
US Forest Service ,Taser,Firearm
Gaston County Police Department,Gunshot,Firearm
Emeryville Police Department,Gunshot,Firearm
Fremont Police Department,Gunshot,Firearm
